date,aqi_mean,aqi_max,aqi_min,aqi_std,aqi_last6h,pm2_5_mean,pm10_mean,temp_mean,temp_max,temp_min,humidity_mean,wind_mean,wind_max,pressure_mean,precip_sum,aqi_lag1d,aqi_lag2d,aqi_lag3d,aqi_lag7d,pm2_5_lag1d,pm2_5_lag2d,aqi_roll_mean_3,aqi_roll_mean_7,aqi_trend_1d,aqi_trend_3d,aqi_diff,aqi_pct_change,pm2_5_diff,pm10_diff,temp_diff,pressure_diff,wind_diff,humidity_diff,aqi_std_7d,month_sin,month_cos,dow,fc_temp_d1,fc_temp_d2,fc_temp_d3,fc_humidity_d1,fc_humidity_d2,fc_humidity_d3,fc_wind_d1,fc_wind_d2,fc_wind_d3,fc_pressure_d1,fc_pressure_d2,fc_pressure_d3,fc_precip_d1,fc_precip_d2,fc_precip_d3,fc_pressure_drop_d1,aqi_day1,aqi_day2,aqi_day3
2024-07-06,42.65263748168945,46.77083206176758,37.69097137451172,3.2933573722839355,45.77256774902344,11.375,15.654167175292969,24.28333282470703,29.0,18.049999237060547,70.80298614501953,18.78277587890625,32.15104293823242,1010.40625,1.0,52.46498489379883,49.7381477355957,63.14162063598633,46.5046272277832,11.116665840148926,11.841667175292969,55.11491775512695,52.48542785644531,2.726837158203125,-3.1108551025390625,2.726837158203125,5.482387542724609,-0.725001335144043,-2.145833969116211,-0.9312477111816406,6.580078125,-4.565302848815918,0.9793853759765625,5.506506807923155,-0.4999999999999997,-0.8660254037844388,5,25.17291831970215,25.787500381469727,27.06041717529297,71.0884017944336,76.43424224853516,74.5930404663086,19.07789421081543,18.21950912475586,19.166227340698242,1009.0245971679688,1007.5848999023438,1007.0089721679688,0.0,0.0,0.0,1.38165283203125,49.84663009643555,51.715057373046875,54.474365234375
2024-07-07,49.84663009643555,50.58510208129883,47.39582824707031,0.9265076518058777,50.26454162597656,12.21250057220459,17.695833206176758,25.17291831970215,29.5,21.700000762939453,71.0884017944336,19.07789421081543,27.66383934020996,1009.0245971679688,0.0,42.65263748168945,52.46498489379883,49.7381477355957,51.214447021484375,11.375,11.116665840148926,48.285256703694664,51.93514360700335,-9.812347412109375,-20.488983154296875,-9.812347412109375,-18.702661514282227,0.2583341598510742,0.7958335876464844,1.6687488555908203,2.43853759765625,9.617388725280762,-6.39617919921875,6.3340851018125655,-0.4999999999999997,-0.8660254037844388,6,25.787500381469727,27.06041717529297,27.618749618530273,76.43424224853516,74.5930404663086,69.75756072998047,18.21950912475586,19.166227340698242,17.232393264770508,1007.5848999023438,1007.0089721679688,1006.995849609375,0.0,0.0,0.0,1.439697265625,51.715057373046875,54.474365234375,61.9592170715332
2024-07-08,51.715057373046875,52.91667175292969,50.452125549316406,0.8750883936882019,52.72163009643555,13.233333587646484,20.712499618530273,25.787500381469727,30.399999618530273,21.399999618530273,76.43424224853516,18.21950912475586,25.872453689575195,1007.5848999023438,0.0,49.84663009643555,42.65263748168945,52.46498489379883,48.75832748413086,12.21250057220459,11.375,48.321417490641274,51.73974118913923,7.193992614746094,0.10848236083984375,7.193992614746094,16.866470336914062,0.8375005722045898,2.041666030883789,0.8895854949951172,-1.38165283203125,0.2951183319091797,0.2854156494140625,6.380948399247024,-0.4999999999999997,-0.8660254037844388,0,27.06041717529297,27.618749618530273,24.60624885559082,74.5930404663086,69.75756072998047,82.65467834472656,19.166227340698242,17.232393264770508,13.11351490020752,1007.0089721679688,1006.995849609375,1006.9505004882812,0.0,0.0,13.300000190734863,0.575927734375,54.474365234375,61.9592170715332,59.28597640991211
2024-07-09,54.474365234375,58.519508361816406,52.61524963378906,1.6425442695617676,56.897159576416016,16.36250114440918,25.554166793823242,27.06041717529297,31.399999618530273,22.649999618530273,74.5930404663086,19.166227340698242,26.55472755432129,1007.0089721679688,0.0,51.715057373046875,49.84663009643555,42.65263748168945,55.57583999633789,13.233333587646484,12.21250057220459,48.071441650390625,52.16213117327009,1.8684272766113281,-0.7499275207519531,1.8684272766113281,3.7483572959899902,1.0208330154418945,3.0166664123535156,0.6145820617675781,-1.439697265625,-0.8583850860595703,5.3458404541015625,6.247158065374281,-0.4999999999999997,-0.8660254037844388,1,27.618749618530273,24.60624885559082,26.16874885559082,69.75756072998047,82.65467834472656,77.60930633544922,17.232393264770508,13.11351490020752,15.005045890808105,1006.995849609375,1006.9505004882812,1006.02587890625,0.0,13.300000190734863,3.299999952316284,0.01312255859375,61.9592170715332,59.28597640991211,58.11909103393555
2024-07-10,61.9592170715332,63.342201232910156,59.28191375732422,1.128785252571106,61.34012985229492,16.566667556762695,23.912500381469727,27.618749618530273,32.349998474121094,23.649999618530273,69.75756072998047,17.232393264770508,27.841293334960938,1006.995849609375,0.0,54.474365234375,51.715057373046875,49.84663009643555,63.14162063598633,16.36250114440918,13.233333587646484,52.012017567952476,52.00477763584682,2.759307861328125,11.821727752685547,2.759307861328125,5.335593223571777,3.1291675567626953,4.841667175292969,1.2729167938232422,-0.575927734375,0.9467182159423828,-1.8412017822265625,6.160108235481622,-0.4999999999999997,-0.8660254037844388,2,24.60624885559082,26.16874885559082,26.67291831970215,82.65467834472656,77.60930633544922,77.29036712646484,13.11351490020752,15.005045890808105,15.6530122756958,1006.9505004882812,1006.02587890625,1004.6841430664062,13.300000190734863,3.299999952316284,0.0,0.04534912109375,59.28597640991211,58.11909103393555,59.10682678222656
2024-07-11,59.28597640991211,60.29255294799805,58.324466705322266,0.6401366591453552,59.71630859375,16.80000114440918,21.52083396911621,24.60624885559082,27.350000381469727,22.5,82.65467834472656,13.11351490020752,25.006397247314453,1006.9505004882812,13.300000190734863,61.9592170715332,54.474365234375,51.715057373046875,49.7381477355957,16.566667556762695,16.36250114440918,56.049546559651695,51.835862840924946,7.484851837158203,12.112586975097656,7.484851837158203,13.740134239196777,0.20416641235351562,-1.6416664123535156,0.5583324432373047,-0.01312255859375,-1.9338340759277344,-4.835479736328125,5.8100985053393375,-0.4999999999999997,-0.8660254037844388,3,26.16874885559082,26.67291831970215,26.556249618530273,77.60930633544922,77.29036712646484,65.44384765625,15.005045890808105,15.6530122756958,17.929954528808594,1006.02587890625,1004.6841430664062,1005.7240600585938,3.299999952316284,0.0,0.0,0.92462158203125,58.11909103393555,59.10682678222656,48.88395690917969
2024-07-12,58.11909103393555,60.2127685546875,56.64893341064453,0.9745324850082397,58.132389068603516,15.824999809265137,21.691665649414062,26.16874885559082,29.799999237060547,22.75,77.60930633544922,15.005045890808105,25.478742599487305,1006.02587890625,3.299999952316284,59.28597640991211,61.9592170715332,54.474365234375,52.46498489379883,16.80000114440918,16.566667556762695,58.57318623860677,53.19983836582729,-2.6732406616210938,7.570919036865234,-2.6732406616210938,-4.314517974853516,0.23333358764648438,-2.3916664123535156,-3.012500762939453,-0.04534912109375,-4.118878364562988,12.897117614746094,6.332775151943395,-0.4999999999999997,-0.8660254037844388,4,26.67291831970215,26.556249618530273,26.70625114440918,77.29036712646484,65.44384765625,66.1704330444336,15.6530122756958,17.929954528808594,17.856199264526367,1004.6841430664062,1005.7240600585938,1005.6845092773438,0.0,0.0,0.0,1.34173583984375,59.10682678222656,48.88395690917969,42.43889236450195
2024-07-13,59.10682678222656,60.000003814697266,57.39362335205078,0.6954127550125122,58.45892333984375,15.179165840148926,23.13749885559082,26.67291831970215,30.799999237060547,22.649999618530273,77.29036712646484,15.6530122756958,27.257966995239258,1004.6841430664062,0.0,58.11909103393555,59.28597640991211,61.9592170715332,42.65263748168945,15.824999809265137,16.80000114440918,59.78809483846029,54.007567814418245,-1.1668853759765625,3.644725799560547,-1.1668853759765625,-1.968228816986084,-0.975001335144043,0.17083168029785156,1.5625,-0.92462158203125,1.891530990600586,-5.045372009277344,6.579213426934364,-0.4999999999999997,-0.8660254037844388,5,26.556249618530273,26.70625114440918,27.87291717529297,65.44384765625,66.1704330444336,64.5367660522461,17.929954528808594,17.856199264526367,19.07295036315918,1005.7240600585938,1005.6845092773438,1005.0780639648438,0.0,0.0,0.0,-1.0399169921875,48.88395690917969,42.43889236450195,47.75752258300781
2024-07-14,48.88395690917969,56.764190673828125,40.46875,5.1869425773620605,42.089962005615234,9.758333206176758,13.895833015441895,26.556249618530273,31.299999237060547,22.649999618530273,65.44384765625,17.929954528808594,23.277833938598633,1005.7240600585938,0.0,59.10682678222656,58.11909103393555,59.28597640991211,49.84663009643555,15.179165840148926,15.824999809265137,58.83729807535807,56.35816628592355,0.9877357482910156,-2.8523902893066406,0.9877357482910156,1.699507236480713,-0.6458339691162109,1.4458332061767578,0.5041694641113281,-1.34173583984375,0.6479663848876953,-0.318939208984375,4.436723694403109,-0.4999999999999997,-0.8660254037844388,6,26.70625114440918,27.87291717529297,28.837499618530273,66.1704330444336,64.5367660522461,68.45753479003906,17.856199264526367,19.07295036315918,15.737163543701172,1005.6845092773438,1005.0780639648438,1006.6223754882812,0.0,0.0,0.8999999761581421,0.03955078125,42.43889236450195,47.75752258300781,52.03195571899414
2024-07-15,42.43889236450195,45.80241012573242,39.965274810791016,2.090902090072632,44.22003173828125,10.829166412353516,15.02500057220459,26.70625114440918,32.25,22.350000381469727,66.1704330444336,17.856199264526367,26.24298667907715,1005.6845092773438,0.0,48.88395690917969,59.10682678222656,58.11909103393555,51.715057373046875,9.758333206176758,15.179165840148926,55.3699582417806,56.220641544886995,-10.222869873046875,-10.402019500732422,-10.222869873046875,-17.295581817626953,-5.420832633972168,-9.241665840148926,-0.116668701171875,1.0399169921875,2.276942253112793,-11.846519470214844,4.680427575241419,-0.4999999999999997,-0.8660254037844388,0,27.87291717529297,28.837499618530273,28.87708282470703,64.5367660522461,68.45753479003906,67.91410064697266,19.07295036315918,15.737163543701172,18.120264053344727,1005.0780639648438,1006.6223754882812,1007.6105346679688,0.0,0.8999999761581421,0.0,0.6064453125,47.75752258300781,52.03195571899414,57.99755859375
